Piloto,Totales,Tot.,AU,CH,JA,BA,SA,MI,ER,MO,ES,CA,AS,GB,BE,HU,PB,IT,AZ,SI,US,ME,SP,LV,QA,AB,Promedio_GP,STD_GP,Victorias,Podios
L. Norris,423,25,44,62,77,89,115,133,158,176,176,201,226,250,275,275,293,299,314,332,357,390,390,408,423,423,16.92,9.340413980832613,6,16
M. Verstappen,421,18,36,61,69,87,99,124,136,137,155,155,165,185,187,205,230,255,273,306,321,341,366,396,421,421,16.84,9.299103899480494,6,16
O. Piastri,410,2,34,49,74,99,131,146,161,186,198,216,234,266,284,309,324,324,336,346,356,366,366,392,410,410,16.4,9.81495457622364,4,12
G. Russell,319,15,35,45,63,73,93,99,99,111,136,146,147,157,172,184,194,212,237,252,258,276,294,309,319,319,12.76,6.881618026791858,2,8
C. Leclerc,242,4,8,20,32,47,53,61,79,94,104,119,119,139,151,151,163,165,173,192,210,214,226,230,242,242,9.68,6.249799996799897,0,4
L. Hamilton,156,1,9,15,25,31,41,53,63,71,79,91,103,109,109,109,117,121,125,142,146,148,152,152,156,156,6.24,4.548626166217664,0,0
A. K. Antonelli,150,12,22,30,30,38,48,48,48,48,63,63,63,63,64,64,66,78,88,89,97,122,137,137,137,137,5.48,6.801470429252781,1,1
A. Albon,73,10,16,18,18,20,30,40,42,42,42,42,46,54,54,64,70,70,70,73,73,73,73,73,73,73,2.92,3.872122587591119,0,0
C. Sainz,64,0,1,1,1,5,7,11,12,12,13,13,13,16,16,16,16,31,32,38,38,38,48,64,64,64,2.56,4.574203027122138,0,0
F. Alonso,56,0,0,0,0,0,0,0,0,2,8,14,16,16,26,30,30,30,36,37,37,40,40,48,56,56,2.24,3.192177939902473,0,0
N. Hulkenberg,51,6,6,6,6,6,6,6,6,16,20,22,37,37,37,37,37,37,37,41,41,43,49,49,51,51,2.04,3.7469987990390403,0,0
I. Hadjar,51,0,0,4,4,5,5,7,15,21,21,21,21,22,22,37,38,39,39,39,39,43,51,51,51,51,2.04,3.6796738985948205,0,0
O. Bearman,41,0,4,5,6,6,6,6,6,6,6,6,6,8,8,16,16,16,18,20,32,40,41,41,41,41,1.64,3.134219732777735,0,0
L. Lawson,38,0,0,0,0,0,0,0,4,4,4,12,12,16,20,20,20,30,30,30,30,36,36,38,38,38,1.52,2.8448784391135824,0,0
E. Ocon,38,0,10,10,14,14,14,14,20,20,22,23,23,27,27,28,28,28,28,28,30,30,32,32,38,38,1.52,2.5839246635044657,0,0
L. Stroll,33,8,10,10,10,10,14,14,14,14,14,14,20,20,26,32,32,32,32,32,32,32,32,32,33,33,1.32,2.495328969628387,0,0
Y. Tsunoda,33,0,3,3,5,5,9,10,10,10,10,10,10,10,10,12,12,20,20,28,28,28,28,33,33,33,1.32,2.4447222064411873,0,0
P. Gasly,22,0,0,0,6,6,7,7,7,11,11,11,19,20,20,20,20,20,20,20,20,22,22,22,22,22,0.88,2.06801031589948,0,0
G. Bortoleto,19,0,0,0,0,0,0,0,0,0,0,4,4,6,14,14,18,18,18,18,19,19,19,19,19,19,0.76,1.8991226044325489,0,0
F. Colapinto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
J. Doohan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
